City Name,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Time Period,Is_Weekend,Is_Peak_Hour,Bad_Weather_Flag,Road_Risk_Score,Urban_or_Rural
Other,April,Monday,1,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,Unknown,70,62,Female,Valid,Yes,Bridge,Morning,0,1,1,0,0
Other,August,Sunday,2,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,Unknown,No,Intersection,Morning,1,1,0,0,0
Vijayawada,January,Monday,0,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,Unknown,95,51,Female,Expired,No,Bridge,Morning,0,1,0,0,0
Other,June,Saturday,2,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,Morning,1,1,0,0,0
Other,October,Saturday,0,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,Unknown,85,55,Male,Valid,No,Intersection,Morning,1,1,1,1,0
Other,June,Thursday,2,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,Night,0,0,0,0,0
Other,August,Saturday,1,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,Morning,1,1,1,1,0
Other,February,Thursday,1,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,Unknown,61,35,Male,Expired,No,Straight Road,Evening,0,1,1,1,0
Other,February,Saturday,2,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,Unknown,35,23,Female,Unknown,Yes,Curve,Afternoon,1,0,0,1,0
Other,August,Wednesday,2,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,Evening,0,1,1,1,0
Other,April,Sunday,2,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,Morning,1,1,0,1,0
Other,May,Wednesday,1,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,Unknown,30,41,Female,Unknown,No,Intersection,Night,0,0,0,1,0
Other,June,Friday,1,4,Truck,0,2,Hazy,Village Road,Dry,Dark,Unknown,97,68,Male,Unknown,Yes,Intersection,Afternoon,0,0,0,0,0
Vadodara,March,Wednesday,2,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,Afternoon,0,0,1,1,0
Other,April,Tuesday,1,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,Night,0,0,0,0,0
Mysore,October,Monday,0,4,Bus,10,2,Stormy,Village Road,Wet,Dark,Unknown,44,42,Female,Unknown,Yes,Bridge,Morning,0,1,0,1,0
Other,April,Saturday,0,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,Afternoon,1,0,0,1,0
Dwarka,January,Tuesday,1,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,Unknown,77,63,Female,Unknown,Yes,Intersection,Night,0,0,1,0,0
Other,April,Thursday,2,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,Unknown,Yes,Straight Road,Night,0,0,0,0,0
Other,April,Saturday,0,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,Unknown,No,Straight Road,Evening,1,1,0,1,0
Other,February,Saturday,2,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,Unknown,No,Bridge,Morning,1,1,0,0,0
Other,April,Tuesday,1,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,Unknown,No,Curve,Afternoon,0,0,0,0,0
Other,December,Friday,2,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,Evening,0,1,1,0,0
Vadodara,August,Thursday,0,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,Morning,0,1,1,0,0
Nagpur,June,Monday,0,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,Unknown,Yes,Bridge,Afternoon,0,0,0,0,0
Other,May,Sunday,0,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,Morning,1,1,0,1,0
Nagpur,May,Wednesday,2,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,Afternoon,0,0,0,0,0
Other,October,Wednesday,0,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,Unknown,43,60,Male,Expired,Yes,Curve,Evening,0,1,1,1,0
Other,July,Sunday,0,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,Night,1,0,0,0,0
Other,March,Monday,2,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,Night,0,0,0,0,0
Other,February,Saturday,2,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,Night,1,0,1,0,0
Other,October,Tuesday,1,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,Morning,0,1,0,0,0
Other,November,Tuesday,0,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,Unknown,95,36,Male,Expired,Yes,Intersection,Night,0,0,0,0,0
Other,May,Saturday,0,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,Unknown,82,27,Female,Unknown,Yes,Bridge,Afternoon,1,0,0,1,0
Other,August,Sunday,1,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,Afternoon,1,0,1,1,0
Other,July,Friday,2,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,Morning,0,1,0,1,0
Lucknow,April,Saturday,0,4,Car,5,3,Clear,National Highway,Damaged,Daylight,Unknown,36,34,Female,Expired,No,Curve,Night,1,0,0,1,0
Ahmedabad,August,Sunday,1,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,Afternoon,1,0,1,0,0
Other,August,Monday,1,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,Afternoon,0,0,1,0,0
Other,February,Saturday,0,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,Unknown,73,61,Female,Unknown,Yes,Curve,Afternoon,1,0,0,1,0
Mysore,December,Tuesday,2,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,Unknown,60,58,Male,Expired,Yes,Straight Road,Afternoon,0,0,1,0,0
Other,September,Sunday,0,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,Afternoon,1,0,0,0,0
Other,December,Sunday,2,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,Unknown,No,Intersection,Morning,1,1,0,0,0
Tirupati,August,Saturday,1,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,Unknown,98,44,Male,Unknown,No,Intersection,Morning,1,1,1,1,0
Other,April,Monday,0,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,Unknown,86,30,Male,Expired,Yes,Curve,Morning,0,1,0,0,0
Other,March,Sunday,1,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,Morning,1,1,0,0,0
Other,June,Sunday,2,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,Afternoon,1,0,0,1,0
Vadodara,August,Wednesday,1,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,Morning,0,1,0,1,0
Other,May,Thursday,2,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,Morning,0,1,0,1,0
Other,September,Friday,2,5,Bus,2,4,Hazy,National Highway,Dry,Dusk,Unknown,103,64,Male,Expired,No,Straight Road,Evening,0,1,0,0,0
Other,August,Saturday,0,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,Morning,1,1,1,0,0
Other,October,Friday,2,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,Evening,0,1,0,1,0
Mysore,December,Tuesday,1,4,Auto-Rickshaw,9,4,Stormy,Urban Road,Wet,Dusk,Unknown,92,20,Female,Unknown,No,Intersection,Night,0,0,0,1,0
Other,June,Wednesday,2,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,Night,0,0,1,0,0
Other,October,Wednesday,0,1,Auto-Rickshaw,10,5,Hazy,National Highway,Under Construction,Dusk,Signs,50,61,Female,Unknown,No,Curve,Morning,0,1,0,0,0
Other,May,Monday,1,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,Night,0,0,1,0,0
Other,October,Tuesday,2,5,Two-Wheeler,5,0,Stormy,State Highway,Damaged,Dusk,Unknown,120,22,Male,Expired,No,Intersection,Evening,0,1,0,1,0
Other,May,Friday,0,3,Truck,0,0,Clear,National Highway,Dry,Dusk,Signs,66,50,Male,Unknown,Yes,Intersection,Night,0,0,0,0,0
Other,February,Wednesday,1,4,Auto-Rickshaw,0,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,24,Male,Unknown,No,Straight Road,Afternoon,0,0,0,0,0
Other,June,Monday,0,5,Two-Wheeler,10,1,Stormy,Urban Road,Damaged,Dusk,Unknown,73,50,Male,Unknown,Yes,Curve,Night,0,0,0,1,0
Mangalore,June,Sunday,2,3,Bus,8,4,Rainy,National Highway,Wet,Daylight,Unknown,86,37,Male,Unknown,No,Curve,Evening,1,1,1,1,0
Other,July,Monday,2,4,Cycle,3,1,Rainy,State Highway,Wet,Dusk,Unknown,81,45,Female,Expired,No,Intersection,Night,0,0,1,1,0
Other,May,Sunday,0,2,Bus,10,0,Rainy,National Highway,Under Construction,Dark,Unknown,61,47,Female,Valid,No,Bridge,Evening,1,1,1,0,0
Chennai,May,Friday,0,3,Bus,10,4,Hazy,National Highway,Wet,Daylight,Unknown,35,31,Female,Valid,No,Intersection,Night,0,0,0,1,0
Rohini,April,Monday,2,5,Bus,7,3,Stormy,State Highway,Under Construction,Daylight,Unknown,77,63,Male,Expired,No,Intersection,Afternoon,0,0,0,0,0
Other,October,Wednesday,2,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,Morning,0,1,0,1,0
Other,February,Wednesday,1,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,Night,0,0,0,0,0
Kolkata,June,Saturday,1,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,Evening,1,1,1,0,0
Chennai,November,Thursday,1,5,Two-Wheeler,10,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,32,Male,Unknown,Yes,Intersection,Night,0,0,1,0,0
Other,May,Tuesday,0,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,Night,0,0,0,1,0
Bangalore,May,Thursday,1,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,Morning,0,1,1,1,0
Other,November,Sunday,1,3,Cycle,0,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,54,Female,Expired,Yes,Intersection,Evening,1,1,1,0,0
Nagpur,July,Monday,2,3,Pedestrian,2,2,Clear,National Highway,Wet,Dark,Signals,35,55,Male,Valid,Yes,Bridge,Evening,0,1,0,1,0
Other,October,Thursday,2,5,Bus,10,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,95,18,Female,Unknown,Yes,Curve,Night,0,0,0,1,0
Mangalore,June,Sunday,1,3,Two-Wheeler,5,3,Rainy,National Highway,Wet,Dark,Signals,31,42,Female,Valid,No,Straight Road,Night,1,0,1,1,0
Other,August,Sunday,0,1,Cycle,9,0,Foggy,Urban Road,Dry,Dusk,Signs,70,50,Female,Unknown,No,Curve,Morning,1,1,1,0,0
Madurai,January,Friday,0,1,Truck,9,1,Hazy,State Highway,Damaged,Daylight,Signals,55,67,Male,Unknown,No,Straight Road,Night,0,0,0,1,0
Other,September,Thursday,1,2,Car,0,5,Foggy,State Highway,Wet,Dark,Unknown,107,45,Female,Valid,No,Bridge,Night,0,0,1,1,0
Other,June,Tuesday,2,5,Car,10,4,Stormy,State Highway,Under Construction,Dark,Unknown,44,34,Male,Valid,No,Curve,Morning,0,1,0,0,0
Other,September,Friday,1,2,Two-Wheeler,4,4,Stormy,Village Road,Damaged,Dark,Signals,68,43,Male,Expired,Yes,Curve,Morning,0,1,0,1,0
Other,July,Friday,1,1,Car,1,5,Hazy,Urban Road,Wet,Dawn,Signs,53,18,Female,Valid,No,Intersection,Evening,0,1,0,1,0
Visakhapatnam,December,Thursday,0,4,Bus,5,4,Clear,State Highway,Under Construction,Dawn,Police Checkpost,119,29,Male,Unknown,No,Curve,Morning,0,1,0,0,0
Other,May,Friday,0,4,Auto-Rickshaw,0,2,Foggy,Village Road,Dry,Dusk,Police Checkpost,56,61,Female,Valid,No,Intersection,Night,0,0,1,0,0
Other,November,Thursday,1,1,Car,1,0,Stormy,State Highway,Dry,Daylight,Police Checkpost,117,21,Male,Valid,No,Curve,Morning,0,1,0,0,0
Other,August,Sunday,2,2,Pedestrian,5,5,Rainy,State Highway,Under Construction,Daylight,Unknown,52,51,Female,Expired,No,Curve,Night,1,0,1,0,0
Other,March,Monday,0,1,Pedestrian,0,1,Foggy,National Highway,Under Construction,Dark,Unknown,53,48,Female,Unknown,Yes,Curve,Morning,0,1,1,0,0
Bangalore,May,Monday,2,1,Two-Wheeler,6,1,Rainy,Village Road,Wet,Daylight,Police Checkpost,54,29,Male,Expired,Yes,Straight Road,Night,0,0,1,1,0
Other,September,Thursday,0,3,Truck,0,3,Clear,Urban Road,Wet,Daylight,Unknown,119,51,Male,Expired,Yes,Bridge,Night,0,0,0,1,0
Other,June,Sunday,2,4,Cycle,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,101,35,Male,Valid,Yes,Curve,Night,1,0,0,0,0
Other,July,Friday,0,3,Truck,0,0,Clear,National Highway,Under Construction,Dark,Police Checkpost,86,62,Female,Expired,No,Curve,Afternoon,0,0,0,0,0
Ahmedabad,June,Saturday,2,5,Car,5,1,Stormy,National Highway,Under Construction,Dark,Signals,56,70,Female,Unknown,No,Bridge,Morning,1,1,0,0,0
Chennai,April,Saturday,1,1,Truck,3,2,Hazy,Urban Road,Under Construction,Dawn,Signs,69,41,Male,Expired,Yes,Curve,Afternoon,1,0,0,0,0
Other,November,Saturday,0,5,Two-Wheeler,8,2,Foggy,National Highway,Damaged,Daylight,Unknown,54,43,Female,Unknown,Yes,Intersection,Morning,1,1,1,1,0
Other,March,Saturday,1,3,Bus,9,0,Clear,State Highway,Damaged,Dark,Signals,38,59,Female,Unknown,No,Straight Road,Night,1,0,0,1,0
Other,February,Sunday,1,1,Cycle,6,5,Hazy,State Highway,Under Construction,Dark,Unknown,54,51,Male,Unknown,No,Bridge,Afternoon,1,0,0,0,0
Other,March,Tuesday,0,5,Car,9,1,Stormy,National Highway,Dry,Daylight,Signals,67,58,Male,Expired,Yes,Straight Road,Evening,0,1,0,0,0
Other,April,Monday,2,1,Car,3,3,Clear,State Highway,Under Construction,Daylight,Police Checkpost,69,40,Male,Unknown,No,Intersection,Night,0,0,0,0,0
Other,July,Wednesday,1,4,Bus,4,5,Hazy,State Highway,Dry,Daylight,Police Checkpost,69,44,Female,Expired,No,Curve,Evening,0,1,0,0,0
New Delhi,January,Saturday,1,3,Pedestrian,9,0,Clear,National Highway,Damaged,Dusk,Unknown,90,48,Male,Valid,Yes,Intersection,Evening,1,1,0,1,0
Other,March,Saturday,2,1,Two-Wheeler,5,1,Stormy,Urban Road,Under Construction,Daylight,Signs,35,62,Female,Valid,No,Intersection,Morning,1,1,0,0,0
Other,September,Friday,0,1,Car,10,1,Rainy,National Highway,Under Construction,Dawn,Signs,118,44,Female,Expired,No,Curve,Morning,0,1,1,0,0
Other,September,Wednesday,1,2,Truck,9,0,Rainy,Urban Road,Dry,Dawn,Unknown,75,61,Male,Unknown,No,Bridge,Night,0,0,1,0,0
Other,October,Thursday,0,2,Pedestrian,1,2,Hazy,Urban Road,Under Construction,Dawn,Unknown,116,62,Male,Expired,Yes,Curve,Evening,0,1,0,0,0
Udaipur,August,Saturday,1,3,Auto-Rickshaw,3,0,Stormy,Village Road,Dry,Dusk,Signals,120,51,Female,Valid,Yes,Bridge,Afternoon,1,0,0,0,0
