Month,Number of Vehicles Involved,Number of Casualties,Number of Fatalities,Speed Limit (km/h),Driver Age,Time Period,Is_Weekend,Is_Peak_Hour,Bad_Weather_Flag,Road_Risk_Score,Urban_or_Rural,Hour,Hour_sin,Hour_cos,Month_Num,Month_sin,Month_cos,City Name_Bangalore,City Name_Chennai,City Name_Coimbatore,City Name_Durgapur,City Name_Dwarka,City Name_Jaipur,City Name_Jodhpur,City Name_Kanpur,City Name_Kolkata,City Name_Lucknow,City Name_Madurai,City Name_Mangalore,City Name_Mumbai,City Name_Mysore,City Name_Nagpur,City Name_New Delhi,City Name_Other,City Name_Pune,City Name_Rohini,City Name_Siliguri,City Name_Surat,City Name_Tirupati,City Name_Udaipur,City Name_Vadodara,City Name_Varanasi,City Name_Vijayawada,City Name_Visakhapatnam,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Vehicle Type Involved_Bus,Vehicle Type Involved_Car,Vehicle Type Involved_Cycle,Vehicle Type Involved_Pedestrian,Vehicle Type Involved_Truck,Vehicle Type Involved_Two-Wheeler,Weather Conditions_Foggy,Weather Conditions_Hazy,Weather Conditions_Rainy,Weather Conditions_Stormy,Road Type_State Highway,Road Type_Urban Road,Road Type_Village Road,Road Condition_Dry,Road Condition_Under Construction,Road Condition_Wet,Lighting Conditions_Dawn,Lighting Conditions_Daylight,Lighting Conditions_Dusk,Traffic Control Presence_Signals,Traffic Control Presence_Signs,Traffic Control Presence_Unknown,Driver Gender_Male,Driver License Status_Unknown,Driver License Status_Valid,Alcohol Involvement_Yes,Accident Location Details_Curve,Accident Location Details_Intersection,Accident Location Details_Straight Road,Risk_Score
April,1.4033154669538228,-1.2652628666425554,0.31715276930377573,-1.4925161125446993,0.3131758730114972,Night,0,0,0,0,0,12.0,0.0,0.0,4,1.225468397974825,-0.7181148647854229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,30
August,0.0028010288761553376,-1.2652628666425554,0.8994405954428988,-1.0814644549695038,-0.20629478510419375,Afternoon,0,0,0,1,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,90
September,-1.3977134092015122,-0.9540816402179231,0.31715276930377573,-1.0814644549695038,0.7027788665982654,Night,1,0,0,0,0,12.0,0.0,0.0,9,-1.4214544117969639,-0.013059786768817937,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,65
June,1.4033154669538228,-1.576444093067188,-1.4297107091135937,0.8616888353859656,-0.011493288310809636,Morning,0,1,1,1,0,12.0,0.0,0.0,6,-0.0029727531852256333,-1.4231699428020286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,65
August,0.0028010288761553376,0.29064326548060676,0.31715276930377573,-1.044096122462668,0.637845034333804,Evening,0,1,1,1,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,65
August,0.7030582479149892,-0.33171918736865813,1.481728421582022,-0.5583077998738005,-0.011493288310809636,Afternoon,0,0,0,0,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,30
October,-0.6974561901626785,0.6018244919052392,0.8994405954428988,0.562742175331278,0.4430435375404199,Afternoon,1,0,1,1,0,12.0,0.0,0.0,10,-1.2314139043452765,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,30
October,1.4033154669538228,1.5353681711791365,-0.26513505683534744,1.4595821554953408,0.4430435375404199,Evening,0,1,0,1,0,12.0,0.0,0.0,10,-1.2314139043452765,0.6919952912477879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,90
November,0.0028010288761553376,0.6018244919052392,-0.8474228829744705,0.18905885026291847,0.7027788665982654,Morning,0,1,1,0,0,12.0,0.0,0.0,11,-0.7122135824910955,1.2081314304903812,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,65
April,0.0028010288761553376,0.6018244919052392,1.481728421582022,-1.0814644549695038,0.8326465311271881,Morning,1,1,1,1,0,12.0,0.0,0.0,4,1.225468397974825,-0.7181148647854229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,90
June,1.4033154669538228,0.29064326548060676,0.31715276930377573,-1.679357775078879,-1.5699052626578824,Morning,0,1,1,0,0,12.0,0.0,0.0,6,-0.0029727531852256333,-1.4231699428020286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,65
February,-0.6974561901626785,1.5353681711791365,0.31715276930377573,-0.7451494624079803,-0.20629478510419375,Night,0,0,0,0,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,65
July,-1.3977134092015122,1.2241869447545042,0.8994405954428988,-1.5298844450515352,-1.3751037658644982,Evening,0,1,0,1,0,12.0,0.0,0.0,7,-0.7122135824910946,-1.2342510040280172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,90
December,0.0028010288761553376,-1.2652628666425554,0.31715276930377573,1.1606354954406533,0.24824204074703582,Afternoon,0,0,1,0,0,12.0,0.0,0.0,12,-0.002972753185226154,1.3970503692643932,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,65
February,-1.3977134092015122,-1.2652628666425554,-0.8474228829744705,-1.6419894425720432,-1.5699052626578824,Night,0,0,1,1,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,65
August,0.0028010288761553376,-0.9540816402179231,-0.26513505683534744,0.6374788403449498,-0.076427120575271,Morning,0,1,0,1,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,90
April,-0.6974561901626785,0.6018244919052392,1.481728421582022,-0.1472561422986051,1.3521171892428792,Afternoon,0,0,0,0,0,12.0,0.0,0.0,4,1.225468397974825,-0.7181148647854229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,30
August,-1.3977134092015122,1.5353681711791365,-0.8474228829744705,0.562742175331278,1.2871833569784177,Night,0,0,0,1,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,90
March,-0.6974561901626785,0.9130057183298717,-1.4297107091135937,0.3011638477834263,-0.8556331077488074,Afternoon,0,0,0,1,0,12.0,0.0,0.0,3,1.4155089054265124,-0.013059786768817591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,65
May,0.0028010288761553376,-0.9540816402179231,-0.8474228829744705,-1.5672527775583711,-1.310169933600037,Morning,1,1,0,0,0,12.0,0.0,0.0,5,0.7062680761206432,-1.234251004028017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,30
March,-0.6974561901626785,0.6018244919052392,-1.4297107091135937,-0.22199280731227697,0.4430435375404199,Afternoon,0,0,0,0,0,12.0,0.0,0.0,3,1.4155089054265124,-0.013059786768817591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,90
November,-1.3977134092015122,-1.576444093067188,0.31715276930377573,-0.8198861274216522,1.2222495247139564,Morning,0,1,0,0,0,12.0,0.0,0.0,11,-0.7122135824910955,1.2081314304903812,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,90
July,1.4033154669538228,0.29064326548060676,-0.26513505683534744,0.2637955152765904,1.5469186860362631,Night,1,0,0,1,0,12.0,0.0,0.0,7,-0.7122135824910946,-1.2342510040280172,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,65
July,0.0028010288761553376,0.6018244919052392,-0.26513505683534744,0.15169051775608253,-0.20629478510419375,Afternoon,0,0,0,1,0,12.0,0.0,0.0,7,-0.7122135824910946,-1.2342510040280172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,30
August,-0.6974561901626785,0.9130057183298717,0.31715276930377573,-1.679357775078879,-0.2712286173686551,Evening,1,1,0,0,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,30
February,0.0028010288761553376,1.2241869447545042,1.481728421582022,1.1606354954406533,-1.2452361013355755,Morning,1,1,0,1,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,65
January,-0.6974561901626785,-0.6429004137932905,-0.8474228829744705,1.0111621654133094,-0.790699275484346,Afternoon,0,0,1,1,0,12.0,0.0,0.0,1,0.7062680761206432,1.2081314304903816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,90
July,-0.6974561901626785,-1.2652628666425554,1.481728421582022,-1.006727789955832,1.6118525183007244,Evening,0,1,1,0,0,12.0,0.0,0.0,7,-0.7122135824910946,-1.2342510040280172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,30
June,1.4033154669538228,-0.020537960944025692,0.31715276930377573,-1.6046211100652072,1.3521171892428792,Evening,1,1,1,0,0,12.0,0.0,0.0,6,-0.0029727531852256333,-1.4231699428020286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,30
February,-1.3977134092015122,-0.33171918736865813,-0.8474228829744705,-0.5956761323806364,1.0274480279205722,Morning,0,1,0,0,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,65
February,-0.6974561901626785,-0.020537960944025692,1.481728421582022,0.4880055103176061,0.5729112020693427,Evening,0,1,1,0,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,90
July,1.4033154669538228,-0.9540816402179231,-0.26513505683534744,0.3011638477834263,0.7677126988627268,Evening,0,1,1,1,0,12.0,0.0,0.0,7,-0.7122135824910946,-1.2342510040280172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,65
April,-0.6974561901626785,-0.9540816402179231,1.481728421582022,-0.6330444648874725,0.18330820848257445,Morning,0,1,0,0,0,12.0,0.0,0.0,4,1.225468397974825,-0.7181148647854229,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,30
December,1.4033154669538228,-0.9540816402179231,1.481728421582022,-1.679357775078879,-1.5699052626578824,Morning,1,1,1,1,0,12.0,0.0,0.0,12,-0.002972753185226154,1.3970503692643932,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,65
February,-1.3977134092015122,0.9130057183298717,-0.8474228829744705,1.0858988304269812,-0.14136095283973238,Morning,1,1,1,1,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,65
February,0.0028010288761553376,-1.2652628666425554,1.481728421582022,0.6748471728517859,-0.011493288310809636,Night,0,0,1,0,0,12.0,0.0,0.0,2,1.2254683979748249,0.6919952912477879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,30
November,0.0028010288761553376,-0.33171918736865813,0.8994405954428988,0.2637955152765904,0.5729112020693427,Morning,0,1,1,1,0,12.0,0.0,0.0,11,-0.7122135824910955,1.2081314304903812,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,30
January,1.4033154669538228,-1.576444093067188,-0.26513505683534744,0.2637955152765904,0.24824204074703582,Evening,0,1,1,1,0,12.0,0.0,0.0,1,0.7062680761206432,1.2081314304903816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,True,False,False,90
October,-0.6974561901626785,-0.9540816402179231,1.481728421582022,1.235372160454325,-0.4660301141620392,Morning,0,1,0,0,0,12.0,0.0,0.0,10,-1.2314139043452765,0.6919952912477879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,65
May,0.7030582479149892,1.2241869447545042,0.8994405954428988,-1.2683061175036836,0.3131758730114972,Night,1,0,0,0,0,12.0,0.0,0.0,5,0.7062680761206432,-1.234251004028017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,30
December,0.7030582479149892,-0.6429004137932905,1.481728421582022,-0.5209394673669646,0.4430435375404199,Night,0,0,1,1,0,12.0,0.0,0.0,12,-0.002972753185226154,1.3970503692643932,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,90
May,-0.6974561901626785,0.29064326548060676,-0.26513505683534744,1.272740492961161,-0.9205669400132688,Evening,0,1,1,1,0,12.0,0.0,0.0,5,0.7062680761206432,-1.234251004028017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,30
August,0.7030582479149892,-1.2652628666425554,0.31715276930377573,-1.679357775078879,0.8326465311271881,Night,0,0,1,0,0,12.0,0.0,0.0,8,-1.2314139043452763,-0.7181148647854239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,90
May,1.4033154669538228,-1.2652628666425554,0.8994405954428988,1.4595821554953408,-1.2452361013355755,Morning,1,1,0,1,0,12.0,0.0,0.0,5,0.7062680761206432,-1.234251004028017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,30
April,0.7030582479149892,0.29064326548060676,0.8994405954428988,-1.4177794475310275,-1.4400375981289597,Morning,1,1,1,0,0,12.0,0.0,0.0,4,1.225468397974825,-0.7181148647854229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,65
